CustomerID,Tenure Months_x,Contract_x,Monthly Charges_x,Total Charges,Internet Service,Payment Method,Charges Band,Churn Label_x,CLTV,Churn_Probability,Predicted_Churn,Risk_Tier
5698-BQJOH,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,High ($65-95),Yes,5571,0.4623004443444648,0,Low Risk
5919-TMRGD,1,Month-to-month,79.35,79.35,Fiber optic,Electronic check,High ($65-95),Yes,2483,0.6566370602635859,1,Medium Risk
9191-MYQKX,7,Month-to-month,75.15,496.9,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,3457,0.4194440700614812,0,Low Risk
8637-XJIVR,12,Month-to-month,78.95,927.35,Fiber optic,Electronic check,High ($65-95),Yes,5806,0.5324914058090049,1,Medium Risk
0278-YXOOG,5,Month-to-month,21.05,113.85,No,Mailed check,Low (<$35),Yes,2604,0.2827328641329082,0,Low Risk
4598-XLKNJ,25,Month-to-month,98.5,2514.5,Fiber optic,Electronic check,Premium (>$95),Yes,5337,0.48729141762683414,0,Low Risk
3192-NQECA,68,Two year,110.0,7611.85,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5034,0.22849064104125547,0,Very Low Risk
0486-HECZI,55,Month-to-month,96.75,5238.9,Fiber optic,Electronic check,Premium (>$95),Yes,5154,0.1655327656316301,0,Very Low Risk
4846-WHAFZ,37,Month-to-month,76.5,2868.15,Fiber optic,Electronic check,High ($65-95),Yes,2793,0.24221987274714268,0,Very Low Risk
5299-RULOA,10,Month-to-month,100.25,1064.65,Fiber optic,Electronic check,Premium (>$95),Yes,5998,0.5410000169650536,1,Medium Risk
0404-SWRVG,3,Month-to-month,74.4,229.55,Fiber optic,Electronic check,High ($65-95),Yes,4415,0.6548628028023807,1,Medium Risk
4412-YLTKF,27,Month-to-month,78.05,2135.5,Fiber optic,Electronic check,High ($65-95),Yes,4638,0.3767147086261627,0,Low Risk
6207-WIOLX,25,Month-to-month,58.6,1502.65,DSL,Credit card (automatic),Medium ($35-65),Yes,4190,0.3487289568960752,0,Low Risk
3091-FYHKI,1,Month-to-month,35.45,35.45,DSL,Electronic check,Medium ($35-65),Yes,2301,0.8332984492400217,1,High Risk
2372-HWUHI,2,Month-to-month,44.35,81.25,DSL,Electronic check,Medium ($35-65),Yes,2570,0.7123405200888903,1,Medium Risk
0390-DCFDQ,1,Month-to-month,70.45,70.45,Fiber optic,Mailed check,High ($65-95),Yes,3964,0.5357486735060084,1,Medium Risk
4080-OGPJL,8,Month-to-month,71.15,563.65,DSL,Electronic check,High ($65-95),Yes,2662,0.46568511936209867,0,Low Risk
2135-RXIHG,1,Month-to-month,45.65,45.65,DSL,Electronic check,Medium ($35-65),Yes,2600,0.8049711740846264,1,High Risk
3874-EQOEP,7,Month-to-month,95.0,655.5,Fiber optic,Mailed check,High ($65-95),Yes,2786,0.6139152977289212,1,Medium Risk
0867-MKZVY,20,Month-to-month,82.4,1592.35,Fiber optic,Electronic check,High ($65-95),Yes,5719,0.34190633749924104,0,Low Risk
3376-BMGFE,4,Month-to-month,70.9,273.0,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4287,0.5982714758424155,1,Medium Risk
3445-HXXGF,58,Month-to-month,45.3,2651.2,DSL,Electronic check,Medium ($35-65),Yes,5444,0.5449229887096074,1,Medium Risk
1875-QIVME,2,Month-to-month,104.4,242.8,Fiber optic,Electronic check,Premium (>$95),Yes,4690,0.5809054586176278,1,Medium Risk
0691-JVSYA,53,One year,94.85,5000.2,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4328,0.37544786511241596,0,Low Risk
2656-FMOKZ,15,Month-to-month,74.45,1145.7,Fiber optic,Mailed check,High ($65-95),Yes,5717,0.48600859306975264,0,Low Risk
2070-FNEXE,7,Month-to-month,76.45,503.6,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4419,0.32990504408186844,0,Low Risk
6317-YPKDH,1,Month-to-month,29.95,29.95,DSL,Bank transfer (automatic),Low (<$35),Yes,4534,0.528791345592058,1,Medium Risk
9367-WXLCH,8,Month-to-month,84.5,662.65,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,2152,0.5053602513943257,1,Medium Risk
1918-ZBFQJ,13,Month-to-month,79.25,1111.65,Fiber optic,Electronic check,High ($65-95),Yes,5142,0.5684893253765385,1,Medium Risk
1024-GUALD,1,Month-to-month,24.8,24.8,DSL,Electronic check,Low (<$35),Yes,4851,0.7402812668422553,1,Medium Risk
2472-OVKUP,6,Month-to-month,91.0,531.0,Fiber optic,Electronic check,High ($65-95),Yes,2283,0.5057631155691932,1,Medium Risk
1285-OKIPP,1,Month-to-month,79.9,79.9,Fiber optic,Electronic check,High ($65-95),Yes,3394,0.6005100414868598,1,Medium Risk
7825-ECJRF,19,Month-to-month,106.6,1934.45,Fiber optic,Electronic check,Premium (>$95),Yes,3764,0.5876383665974255,1,Medium Risk
7841-TZDMQ,2,Month-to-month,46.0,84.5,DSL,Credit card (automatic),Medium ($35-65),Yes,2667,0.6309261548253,1,Medium Risk
9408-SSNVZ,4,Month-to-month,70.15,268.35,Fiber optic,Electronic check,High ($65-95),Yes,2227,0.6566307977923118,1,Medium Risk
0742-MOABM,4,Month-to-month,50.05,179.35,DSL,Mailed check,Medium ($35-65),Yes,3394,0.3915164380718646,0,Low Risk
2232-DMLXU,1,Month-to-month,55.2,55.2,DSL,Mailed check,Medium ($35-65),Yes,3638,0.5755592655987477,1,Medium Risk
8937-RDTHP,1,Month-to-month,84.6,84.6,Fiber optic,Mailed check,High ($65-95),Yes,2484,0.5558192427916729,1,Medium Risk
1251-KRREG,2,Month-to-month,54.4,114.1,DSL,Mailed check,Medium ($35-65),Yes,2556,0.6586298777288782,1,Medium Risk
0094-OIFMO,11,Month-to-month,95.0,1120.3,Fiber optic,Electronic check,High ($65-95),Yes,5980,0.6225156915092342,1,Medium Risk
9947-OTFQU,15,Month-to-month,74.4,1074.3,Fiber optic,Electronic check,High ($65-95),Yes,4616,0.7301316530073485,1,Medium Risk
0322-YINQP,1,Month-to-month,48.55,48.55,DSL,Mailed check,Medium ($35-65),Yes,5687,0.5387028955621627,1,Medium Risk
4629-NRXKX,2,Month-to-month,70.4,147.15,Fiber optic,Electronic check,High ($65-95),Yes,5687,0.771387960293383,1,High Risk
9514-JDSKI,1,Month-to-month,40.2,40.2,DSL,Electronic check,Medium ($35-65),Yes,5828,0.7094726706522241,1,Medium Risk
4959-JOSRX,2,Month-to-month,44.6,80.55,DSL,Credit card (automatic),Medium ($35-65),Yes,4884,0.6427796112692726,1,Medium Risk
7273-TEFQD,3,Month-to-month,41.15,132.2,DSL,Electronic check,Medium ($35-65),Yes,2314,0.8168677372869872,1,High Risk
3606-TWKGI,13,Month-to-month,106.9,1364.3,Fiber optic,Electronic check,Premium (>$95),Yes,2494,0.8174394990898068,1,High Risk
6323-AYBRX,59,Two year,19.35,1099.6,No,Mailed check,Low (<$35),Yes,5084,0.5898882264737341,1,Medium Risk
4385-GZQXV,16,Month-to-month,94.45,1511.2,Fiber optic,Electronic check,High ($65-95),Yes,3810,0.696263811250168,1,Medium Risk
6366-ZGQGL,1,Month-to-month,24.8,24.8,DSL,Bank transfer (automatic),Low (<$35),Yes,5087,0.6513870036228393,1,Medium Risk
5940-AHUHD,1,Month-to-month,70.6,70.6,Fiber optic,Mailed check,High ($65-95),Yes,3338,0.7747406624989904,1,High Risk
6432-TWQLB,5,Month-to-month,85.4,401.1,Fiber optic,Electronic check,High ($65-95),Yes,3676,0.7607077303736998,1,High Risk
4484-GLZOU,52,Month-to-month,105.05,5624.85,Fiber optic,Electronic check,Premium (>$95),Yes,4839,0.6882111093581887,1,Medium Risk
9512-UIBFX,18,Month-to-month,95.15,1779.95,Fiber optic,Mailed check,Premium (>$95),Yes,4643,0.5368998394174599,1,Medium Risk
5583-SXDAG,1,Month-to-month,70.0,70.0,Fiber optic,Electronic check,High ($65-95),Yes,4094,0.8035711636702813,1,High Risk
3488-PGMQJ,8,Month-to-month,74.5,606.55,Fiber optic,Electronic check,High ($65-95),Yes,4345,0.7783484968645253,1,High Risk
3580-REOAC,10,Month-to-month,44.85,435.4,DSL,Credit card (automatic),Medium ($35-65),Yes,4061,0.4731606759891928,0,Low Risk
7534-BFESC,24,Month-to-month,76.1,1712.7,Fiber optic,Electronic check,High ($65-95),Yes,2018,0.8103890423244303,1,High Risk
6390-DSAZX,1,Month-to-month,73.6,73.6,Fiber optic,Mailed check,High ($65-95),Yes,2565,0.642907134551414,1,Medium Risk
8098-LLAZX,4,Month-to-month,95.45,396.1,Fiber optic,Electronic check,Premium (>$95),Yes,3677,0.9022443066598353,1,High Risk
0265-EDXBD,32,Month-to-month,74.9,2303.35,Fiber optic,Electronic check,High ($65-95),Yes,4105,0.7519720056586938,1,High Risk
7563-BIUPC,5,Month-to-month,80.6,415.55,Fiber optic,Electronic check,High ($65-95),Yes,5715,0.8781522809250016,1,High Risk
2321-OMBXY,38,One year,80.3,3058.65,DSL,Credit card (automatic),High ($65-95),Yes,2071,0.22120353285030334,0,Very Low Risk
2840-XANRC,24,Month-to-month,93.15,2231.05,Fiber optic,Electronic check,High ($65-95),Yes,2212,0.7628159880812424,1,High Risk
5020-ZSTTY,54,One year,82.45,4350.1,DSL,Bank transfer (automatic),High ($65-95),Yes,4149,0.2838034008358403,0,Low Risk
5804-LEPIM,2,Month-to-month,70.35,139.05,Fiber optic,Electronic check,High ($65-95),Yes,2671,0.8653958538731866,1,High Risk
0122-OAHPZ,7,Month-to-month,73.85,511.25,Fiber optic,Electronic check,High ($65-95),Yes,2473,0.8640845909764454,1,High Risk
2868-SNELZ,2,Month-to-month,80.6,155.8,Fiber optic,Mailed check,High ($65-95),Yes,2683,0.7391537640682208,1,Medium Risk
4322-RCYMT,68,One year,75.8,5293.95,DSL,Bank transfer (automatic),High ($65-95),Yes,4903,0.26613191574470796,0,Low Risk
6680-NENYN,43,Two year,104.6,4759.85,Fiber optic,Electronic check,Premium (>$95),Yes,5250,0.5797320270312646,1,Medium Risk
1343-EHPYB,63,Month-to-month,103.4,6603.0,Fiber optic,Electronic check,Premium (>$95),Yes,4352,0.7265087539206369,1,Medium Risk
2034-GDRCN,2,Month-to-month,90.4,168.2,Fiber optic,Electronic check,High ($65-95),Yes,4157,0.8935153311343639,1,High Risk
0219-YTZUE,4,Month-to-month,84.8,371.9,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4939,0.7597982925216826,1,High Risk
0623-IIHUG,21,Month-to-month,41.9,840.1,DSL,Electronic check,Medium ($35-65),Yes,4778,0.6466708954074466,1,Medium Risk
4572-DVCGN,10,Month-to-month,80.25,846.0,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,3598,0.7391953278275873,1,Medium Risk
9057-MSWCO,27,Month-to-month,30.75,805.1,DSL,Credit card (automatic),Low (<$35),Yes,2927,0.49399914594401984,0,Low Risk
1010-DIAUQ,5,Month-to-month,96.5,492.55,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,5383,0.6838077798561971,1,Medium Risk
0259-GBZSH,2,Month-to-month,85.65,181.5,Fiber optic,Electronic check,High ($65-95),Yes,3878,0.8944837295938362,1,High Risk
9601-BRXPO,25,Month-to-month,104.95,2566.5,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,3642,0.588538888672881,1,Medium Risk
6905-NIQIN,1,Month-to-month,50.65,50.65,DSL,Mailed check,Medium ($35-65),Yes,2431,0.6003339282215797,1,Medium Risk
5167-ZFFMM,1,Month-to-month,90.85,90.85,Fiber optic,Credit card (automatic),High ($65-95),Yes,3424,0.718679718553212,1,Medium Risk
4895-TMWIR,11,Month-to-month,19.95,214.75,No,Mailed check,Low (<$35),Yes,5888,0.38773578287083993,0,Low Risk
0533-BNWKF,55,Month-to-month,85.45,4874.7,Fiber optic,Electronic check,High ($65-95),Yes,5502,0.5878711245006638,1,Medium Risk
6599-CEBNN,34,Month-to-month,73.95,2524.45,Fiber optic,Credit card (automatic),High ($65-95),Yes,5795,0.5115772765462328,1,Medium Risk
0979-PHULV,69,Month-to-month,99.45,7007.6,Fiber optic,Credit card (automatic),Premium (>$95),Yes,4020,0.5261650820071194,1,Medium Risk
4800-VHZKI,1,Month-to-month,19.9,19.9,No,Mailed check,Low (<$35),Yes,3351,0.6479597200903815,1,Medium Risk
7989-CHGTL,1,Month-to-month,19.6,19.6,No,Mailed check,Low (<$35),Yes,3448,0.6522890771523173,1,Medium Risk
0334-GDDSO,3,Month-to-month,81.35,233.7,Fiber optic,Electronic check,High ($65-95),Yes,2818,0.8468271074031641,1,High Risk
0578-SKVMF,22,Month-to-month,83.3,1845.9,Fiber optic,Electronic check,High ($65-95),Yes,3804,0.6146708907991613,1,Medium Risk
5564-NEMQO,1,Month-to-month,75.3,75.3,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4902,0.7603063104273673,1,High Risk
9063-ZGTUY,61,Month-to-month,19.4,1182.55,No,Mailed check,Low (<$35),Yes,4221,0.37165314496769236,0,Low Risk
2957-LOLHO,12,Month-to-month,45.4,518.9,DSL,Bank transfer (automatic),Medium ($35-65),Yes,2887,0.573299352978222,1,Medium Risk
7752-XUSCI,60,Month-to-month,105.9,6396.45,Fiber optic,Electronic check,Premium (>$95),Yes,4105,0.6680996266912294,1,Medium Risk
4110-PFEUZ,1,Month-to-month,69.55,69.55,Fiber optic,Mailed check,High ($65-95),Yes,2792,0.824456170363067,1,High Risk
0256-LTHVJ,28,Month-to-month,81.05,2227.1,Fiber optic,Electronic check,High ($65-95),Yes,5201,0.7226532193453533,1,Medium Risk
0880-TKATG,4,Month-to-month,101.15,385.9,Fiber optic,Electronic check,Premium (>$95),Yes,4417,0.7653445292296012,1,High Risk
3811-VBYBZ,7,Month-to-month,99.8,673.25,Fiber optic,Electronic check,Premium (>$95),Yes,2031,0.8492039238239255,1,High Risk
4640-UHDOS,13,Month-to-month,55.95,734.35,DSL,Electronic check,Medium ($35-65),Yes,4498,0.5367001460197295,1,Medium Risk
3583-EKAPL,1,Month-to-month,55.0,55.0,DSL,Electronic check,Medium ($35-65),Yes,4877,0.8032469865107609,1,High Risk
9399-APLBT,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,High ($65-95),Yes,5980,0.8061371811045791,1,High Risk
2359-KMGLI,24,Month-to-month,80.25,1861.5,Fiber optic,Electronic check,High ($65-95),Yes,4418,0.776523989854232,1,High Risk
0306-JAELE,5,Month-to-month,96.1,453.4,Fiber optic,Electronic check,Premium (>$95),Yes,4192,0.7587636558530473,1,High Risk
6227-HWPWX,15,Month-to-month,69.0,994.8,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,5671,0.4630350980543856,0,Low Risk
0447-BEMNG,48,Month-to-month,45.3,2145.0,DSL,Bank transfer (automatic),Medium ($35-65),Yes,4926,0.2505164594490634,0,Low Risk
5949-XIKAE,8,Month-to-month,83.55,680.05,Fiber optic,Electronic check,High ($65-95),Yes,2879,0.7973584793688127,1,High Risk
8372-JUXUI,1,Month-to-month,74.35,74.35,Fiber optic,Electronic check,High ($65-95),Yes,2814,0.8903507734057179,1,High Risk
0388-EOPEX,2,Month-to-month,74.4,139.4,Fiber optic,Electronic check,High ($65-95),Yes,4263,0.6892067346714091,1,Medium Risk
8205-OTCHB,22,One year,43.75,903.6,DSL,Bank transfer (automatic),Medium ($35-65),Yes,3099,0.447257264527449,0,Low Risk
6235-VDHOM,5,Month-to-month,28.45,131.05,DSL,Electronic check,Low (<$35),Yes,4099,0.6020961783118577,1,Medium Risk
7783-YKGDV,12,Month-to-month,99.7,1238.45,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,2538,0.69138430992878,1,Medium Risk
5609-CEBID,20,Month-to-month,94.1,1782.4,Fiber optic,Electronic check,High ($65-95),Yes,2666,0.7832131968442512,1,High Risk
7218-HKQFK,2,Month-to-month,94.2,167.5,Fiber optic,Electronic check,High ($65-95),Yes,3715,0.7232341724138648,1,Medium Risk
4636-QRJKY,6,Month-to-month,80.5,502.85,Fiber optic,Electronic check,High ($65-95),Yes,5032,0.7525082923071157,1,High Risk
5956-VKDTT,5,Month-to-month,74.35,334.8,Fiber optic,Electronic check,High ($65-95),Yes,5273,0.8513844447221632,1,High Risk
9412-GHEEC,40,Month-to-month,104.8,4131.95,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,3492,0.469704461534435,0,Low Risk
0257-ZESQC,27,Month-to-month,75.2,1929.35,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4517,0.49650693957850345,0,Low Risk
6825-UYPFK,23,Month-to-month,75.6,1758.6,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,2115,0.4598437417445024,0,Low Risk
8397-MVTAZ,34,Month-to-month,100.05,3480.0,Fiber optic,Electronic check,Premium (>$95),Yes,2568,0.8253791679967057,1,High Risk
9282-IZGQK,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,High ($65-95),Yes,5679,0.9025707214566141,1,High Risk
1342-JPNKI,10,Month-to-month,86.05,834.1,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,2966,0.7265976258774124,1,Medium Risk
2817-NTQDO,13,Month-to-month,45.55,597.0,DSL,Credit card (automatic),Medium ($35-65),Yes,4856,0.37148901494041486,0,Low Risk
6986-IJDHX,39,Month-to-month,86.3,3266.0,Fiber optic,Mailed check,High ($65-95),Yes,3364,0.5315661013910148,1,Medium Risk
5301-GAUUY,32,Month-to-month,80.35,2596.15,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,5974,0.5023769737160364,1,Medium Risk
0939-YAPAF,35,Month-to-month,100.25,3527.6,Fiber optic,Electronic check,Premium (>$95),Yes,2744,0.7827258100804952,1,High Risk
4710-FDUIZ,56,One year,100.3,5614.45,Fiber optic,Credit card (automatic),Premium (>$95),Yes,5170,0.31698185292196923,0,Low Risk
1218-VKFPE,12,Month-to-month,19.0,233.55,No,Mailed check,Low (<$35),Yes,3535,0.21192006436932143,0,Very Low Risk
3627-FHKBK,1,Month-to-month,75.3,75.3,Fiber optic,Mailed check,High ($65-95),Yes,3244,0.5099876488457867,1,Medium Risk
2865-TCHJW,4,Month-to-month,89.2,346.2,Fiber optic,Electronic check,High ($65-95),Yes,5808,0.8708979378557541,1,High Risk
5192-EBGOV,1,Month-to-month,85.7,85.7,Fiber optic,Electronic check,High ($65-95),Yes,4880,0.9008338016232877,1,High Risk
0719-SYFRB,12,Month-to-month,61.65,713.75,DSL,Mailed check,Medium ($35-65),Yes,5670,0.30204200254818053,0,Low Risk
3419-SNJJD,65,Month-to-month,105.25,6786.4,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,4196,0.4189975415296394,0,Low Risk
6543-CPZMK,9,Month-to-month,29.95,248.95,DSL,Electronic check,Low (<$35),Yes,2573,0.6114513434756067,1,Medium Risk
4765-OXPPD,9,Month-to-month,65.0,663.05,DSL,Mailed check,Medium ($35-65),Yes,3983,0.3300912246201417,0,Low Risk
1009-IRMNA,7,Month-to-month,20.0,137.6,No,Bank transfer (automatic),Low (<$35),Yes,4479,0.373185308739718,0,Low Risk
4554-YGZIH,49,Month-to-month,90.05,4547.25,Fiber optic,Credit card (automatic),High ($65-95),Yes,5059,0.4422969441924169,0,Low Risk
5099-BAILX,43,Month-to-month,110.75,4687.9,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,2728,0.5837694787714647,1,Medium Risk
7207-RMRDB,65,Month-to-month,105.5,6985.65,Fiber optic,Electronic check,Premium (>$95),Yes,5720,0.6750963225195189,1,Medium Risk
4913-EHYUI,56,One year,104.55,5794.65,Fiber optic,Bank transfer (automatic),Premium (>$95),Yes,6268,0.39683848325327714,0,Low Risk
0195-IESCP,10,Month-to-month,85.25,855.3,Fiber optic,Electronic check,High ($65-95),Yes,3573,0.8717442324861971,1,High Risk
4580-TMHJU,43,Month-to-month,56.15,2499.3,DSL,Electronic check,Medium ($35-65),Yes,2152,0.4667340708889137,0,Low Risk
0970-ETWGE,1,Month-to-month,89.55,89.55,Fiber optic,Electronic check,High ($65-95),Yes,4996,0.8931439316968592,1,High Risk
1626-ERCMM,20,Month-to-month,94.55,1899.65,Fiber optic,Electronic check,High ($65-95),Yes,5604,0.827325408640066,1,High Risk
0887-HJGAR,1,Month-to-month,45.7,45.7,DSL,Mailed check,Medium ($35-65),Yes,2295,0.7236696232838888,1,Medium Risk
5644-PDMZC,2,Month-to-month,89.5,161.5,Fiber optic,Electronic check,High ($65-95),Yes,2065,0.6753822282225558,1,Medium Risk
9576-ANLXO,3,Month-to-month,69.55,222.3,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,2876,0.7873675789041304,1,High Risk
2024-BASKD,1,Month-to-month,74.6,74.6,Fiber optic,Mailed check,High ($65-95),Yes,3860,0.7929097193255121,1,High Risk
4160-AMJTL,8,Month-to-month,19.65,164.3,No,Electronic check,Low (<$35),Yes,5432,0.3200315900103073,0,Low Risk
4464-JCOLN,2,One year,19.85,35.9,No,Mailed check,Low (<$35),Yes,2362,0.12133090470366806,0,Very Low Risk
5650-VDUDS,4,Month-to-month,24.25,96.05,DSL,Mailed check,Low (<$35),Yes,2038,0.6772509757249782,1,Medium Risk
7538-GWHML,2,Month-to-month,69.65,145.15,Fiber optic,Electronic check,High ($65-95),Yes,2323,0.797320416210329,1,High Risk
3859-CVCET,4,Month-to-month,45.65,191.05,DSL,Mailed check,Medium ($35-65),Yes,2864,0.565015549617412,1,Medium Risk
3276-HDUEG,1,Month-to-month,75.05,75.05,Fiber optic,Mailed check,High ($65-95),Yes,4838,0.8335181067875989,1,High Risk
0823-HSCDJ,52,Month-to-month,49.15,2550.9,DSL,Electronic check,Medium ($35-65),Yes,5597,0.5435094030496235,1,Medium Risk
0822-GAVAP,2,Month-to-month,34.7,62.25,DSL,Electronic check,Low (<$35),Yes,3146,0.8149638727003523,1,High Risk
1448-PWKYE,1,Month-to-month,80.0,80.0,Fiber optic,Electronic check,High ($65-95),Yes,2046,0.813593150284732,1,High Risk
0067-DKWBL,2,Month-to-month,49.25,91.1,DSL,Electronic check,Medium ($35-65),Yes,3475,0.7271413505063568,1,Medium Risk
2276-YDAVZ,3,Month-to-month,75.1,270.7,Fiber optic,Credit card (automatic),High ($65-95),Yes,4965,0.7623371999357242,1,High Risk
5896-NPFWW,3,Month-to-month,50.15,168.15,DSL,Electronic check,Medium ($35-65),Yes,3273,0.7707197136766532,1,High Risk
7133-VBDCG,25,Month-to-month,79.85,2015.35,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,4535,0.47010372391354244,0,Low Risk
1029-QFBEN,1,Month-to-month,19.55,19.55,No,Mailed check,Low (<$35),Yes,3556,0.5711594577475205,1,Medium Risk
4952-YSOGZ,4,Month-to-month,85.95,381.3,Fiber optic,Electronic check,High ($65-95),Yes,5640,0.878482696314842,1,High Risk
1589-AGTLK,3,Month-to-month,45.35,141.5,DSL,Electronic check,Medium ($35-65),Yes,2450,0.800935820361393,1,High Risk
5244-IRFIH,33,Month-to-month,94.5,3105.55,Fiber optic,Electronic check,High ($65-95),Yes,4333,0.7962547374983144,1,High Risk
2684-EIWEO,30,Month-to-month,91.7,2758.15,Fiber optic,Credit card (automatic),High ($65-95),Yes,2482,0.42125314962990423,0,Low Risk
6439-GTPCA,45,Month-to-month,87.25,3941.7,Fiber optic,Electronic check,High ($65-95),Yes,5269,0.6143109539348935,1,Medium Risk
5138-WVKYJ,10,Month-to-month,98.55,1008.55,Fiber optic,Electronic check,Premium (>$95),Yes,3658,0.6800116532316797,1,Medium Risk
6683-VLCTZ,20,Month-to-month,98.55,1842.8,Fiber optic,Electronic check,Premium (>$95),Yes,5444,0.8492860655345598,1,High Risk
2189-WWOEW,15,Month-to-month,85.9,1269.55,Fiber optic,Bank transfer (automatic),High ($65-95),Yes,3579,0.6364706436020415,1,Medium Risk
1894-IGFSG,22,Month-to-month,89.25,1907.85,Fiber optic,Electronic check,High ($65-95),Yes,3161,0.6520613188179644,1,Medium Risk
7379-POKDZ,3,Month-to-month,70.3,208.85,Fiber optic,Electronic check,High ($65-95),Yes,3038,0.8450162206802996,1,High Risk
0236-HFWSV,15,Month-to-month,93.35,1444.65,Fiber optic,Electronic check,High ($65-95),Yes,5264,0.8703046460372191,1,High Risk
3900-AQPHZ,1,Month-to-month,19.9,19.9,No,Mailed check,Low (<$35),Yes,4248,0.569788545574588,1,Medium Risk
5842-POCOP,5,Month-to-month,88.9,454.15,Fiber optic,Mailed check,High ($65-95),Yes,4356,0.6522603027107005,1,Medium Risk
2037-XJFUP,33,One year,95.8,3036.75,Fiber optic,Electronic check,Premium (>$95),Yes,4161,0.6135843170805305,1,Medium Risk
7314-OXENN,2,Month-to-month,82.0,184.65,Fiber optic,Electronic check,High ($65-95),Yes,3051,0.8397350797820974,1,High Risk
0322-CHQRU,2,Month-to-month,45.35,89.5,DSL,Electronic check,Medium ($35-65),Yes,3478,0.7334304272824574,1,Medium Risk
